,hour,week,all,cncf,graduated,incubating,sandbox,kubernetes,tikv
88,16,4,9405.732240437159,254.80601092896174,163.71584699453553,75.18032786885246,86.5464480874317,80.68306010928961,7.844262295081967
89,17,4,9340.308743169398,245.34426229508196,155.83333333333334,74.54918032786885,86.46174863387978,76.36338797814207,7.775956284153006
90,18,4,3763.092896174863,156.64754098360655,99.93989071038251,52.62021857923497,58.75136612021858,47.95355191256831,4.868852459016393
91,19,4,2770.2841530054643,109.69672131147541,69.95628415300547,36.36612021857923,42.385245901639344,31.172131147540984,4.295081967213115
92,20,4,2227.4863387978144,87.4672131147541,57.20765027322405,29.043715846994534,35.24863387978142,26.953551912568305,3.8251366120218577
93,21,4,1992.068306010929,78.25409836065573,52.53005464480874,25.311475409836067,30.273224043715846,25.30327868852459,3.3169398907103824
94,22,4,1827.707650273224,69.1775956284153,47.243169398907106,22.549180327868854,27.363387978142075,22.379781420765028,2.948087431693989
95,23,4,1564.6448087431695,58.69398907103825,38.57377049180328,18.92622950819672,25.169398907103826,17.120218579234972,2.5
96,0,5,1259.0437158469945,48.89071038251366,33.68032786885246,19.038251366120218,23.204918032786885,12.816939890710383,2.442622950819672
97,1,5,1035.6174863387978,38.00273224043716,27.62295081967213,16.262295081967213,19.91256830601093,8.991803278688524,1.8770491803278688
98,2,5,906.6857923497267,32.297814207650276,24.497267759562842,14.773224043715848,18.07377049180328,7.073770491803279,1.2021857923497268
99,3,5,879.9562841530054,28.5327868852459,22.057377049180328,13.997267759562842,16.35792349726776,6.240437158469946,0.855191256830601
100,4,5,948.2377049180328,26.434426229508198,20.398907103825138,12.797814207650273,16.01912568306011,5.475409836065574,0.9972677595628415
101,5,5,1072.6775956284152,27.314207650273225,20.94535519125683,12.863387978142077,15.754098360655737,5.226775956284153,1.0874316939890711
102,6,5,1220.5765027322404,33.3551912568306,24.333333333333332,14.60655737704918,18.270491803278688,6.7349726775956285,1.185792349726776
103,7,5,1519.2459016393443,41.595628415300546,29.39344262295082,17.270491803278688,20.724043715846996,8.562841530054644,1.366120218579235
104,8,5,2078.77868852459,62.89344262295082,41.82513661202186,22.718579234972676,28.10655737704918,15.811475409836065,2.57103825136612
105,9,5,3225.6393442622953,118.98907103825137,78.77595628415301,40.885245901639344,44.439890710382514,36.02732240437158,4.087431693989071
106,10,5,7899.928961748634,237.46174863387978,156.51639344262296,73.0464480874317,80.75409836065573,77.8224043715847,7.863387978142076
107,11,5,8216.155737704918,251.7295081967213,159.58196721311475,77.75136612021858,87.05464480874316,79.51092896174863,7.355191256830601
108,12,5,7710.62568306011,234.0846994535519,147.95901639344262,70.55464480874316,81.16939890710383,72.72677595628416,6.6775956284153
109,13,5,7263.950819672131,211.8415300546448,137.5928961748634,61.14207650273224,71.99453551912568,64.57377049180327,7.03551912568306
110,14,5,7396.647540983607,209.83333333333334,136.37158469945356,62.63661202185792,68.94262295081967,65.68306010928961,8.095628415300547
111,15,5,7660.964480874317,212.95081967213116,139.5136612021858,62.049180327868854,72.7103825136612,67.22950819672131,7.587431693989071
112,16,5,7644.732240437159,211.1120218579235,137.22131147540983,63.057377049180324,74.31693989071039,66.93442622950819,6.797814207650274
113,17,5,7492.762295081967,195.26775956284152,127.01912568306011,59.33606557377049,69.40710382513662,61.09289617486339,6.120218579234972
114,18,5,2952.5218579234975,117.89071038251366,76.68852459016394,40.66120218579235,44.13934426229508,35.87978142076503,3.969945355191257
115,19,5,2141.9234972677596,81.88251366120218,52.81147540983606,28.68032786885246,33.68306010928962,23.360655737704917,3.278688524590164
116,20,5,1653.0464480874316,62.27322404371585,41.150273224043715,23.098360655737704,26.691256830601095,17.953551912568305,2.6939890710382515
117,21,5,1426.27868852459,51.46174863387978,34.095628415300546,18.030054644808743,22.983606557377048,14.16120218579235,2.737704918032787
118,22,5,1270.7185792349726,44.31967213114754,29.71311475409836,14.857923497267759,19.314207650273225,12.576502732240437,2.69672131147541
119,23,5,1110.1420765027322,36.114754098360656,24.016393442622952,12.114754098360656,16.42896174863388,10.385245901639344,1.773224043715847
120,0,6,922.8770491803278,29.718579234972676,20.174863387978142,10.396174863387978,14.868852459016393,7.983606557377049,1.855191256830601
121,1,6,795.4453551912568,21.672131147540984,15.37431693989071,7.871584699453552,10.819672131147541,5.819672131147541,1.2540983606557377
122,2,6,733.9617486338798,16.860655737704917,11.609289617486338,6.754098360655738,9.39344262295082,3.7814207650273226,0.8169398907103825
123,3,6,766.1693989071039,14.967213114754099,11.188524590163935,6.2103825136612025,8.28688524590164,2.7240437158469946,0.7295081967213115
124,4,6,865.2349726775956,15.224043715846994,12.027322404371585,6.333333333333333,8.346994535519126,2.8743169398907105,0.6775956284153005
125,5,6,975.6530054644809,15.978142076502733,12.352459016393443,6.5,8.729508196721312,3.6366120218579234,0.5901639344262295
126,6,6,1116.1311475409836,17.079234972677597,13.112021857923498,7.573770491803279,9.55464480874317,3.439890710382514,0.6857923497267759
127,7,6,1247.9726775956285,20.453551912568305,14.16120218579235,9.0,10.819672131147541,4.453551912568306,0.5382513661202186
128,8,6,1406.0765027322404,25.010928961748633,16.715846994535518,10.860655737704919,12.387978142076502,5.183060109289618,0.6038251366120219
129,9,6,1528.4398907103825,32.24590163934426,21.57650273224044,13.418032786885245,14.953551912568306,7.128415300546448,1.3770491803278688
130,10,6,3511.622950819672,50.69398907103825,31.68032786885246,17.650273224043715,21.92622950819672,12.0,1.6174863387978142
131,11,6,3602.407103825137,58.54644808743169,36.15300546448088,21.756830601092897,24.226775956284154,16.0,1.7240437158469946
132,12,6,3564.210382513661,56.1448087431694,36.32513661202186,20.991803278688526,22.707650273224044,14.587431693989071,1.4207650273224044
133,13,6,3502.8524590163934,52.54644808743169,34.12841530054645,18.98087431693989,22.65846994535519,13.751366120218579,1.4426229508196722
134,14,6,3518.068306010929,49.64754098360656,33.08469945355191,17.112021857923498,20.34153005464481,13.024590163934427,1.5
135,15,6,3593.3524590163934,49.84426229508197,32.90163934426229,17.038251366120218,19.942622950819672,13.166666666666666,1.5737704918032787
136,16,6,3730.7158469945357,48.743169398907106,32.0655737704918,17.52185792349727,20.90983606557377,11.650273224043715,1.9289617486338797
137,17,6,4062.748633879781,48.29234972677595,32.333333333333336,16.136612021857925,20.898907103825138,12.598360655737705,1.6939890710382515
